Designator,Mid X,Mid Y,Layer,Rotation
D1,70.00,22.50,Top,90.0
D2,69.50, 6.50,Top,90.0
LED1,42.47,50.01,Top,180.0
LED2,48.65,50.21,Top,180.0
R1,80.50, 3.50,Top,270.0
R2,80.50, 8.00,Top,270.0
R3,80.50,12.50,Top,270.0
R4,80.50,17.00,Top,270.0
R5,80.50,21.50,Top,270.0
R6,80.50,26.00,Top,270.0
R7,80.50,30.50,Top,270.0
R8,80.50,35.00,Top,270.0
R9,80.50,39.50,Top,270.0
R10,80.50,44.00,Top,270.0
R11,80.50,48.50,Top,270.0
R12,80.50,53.00,Top,270.0
R13,60.09,35.81,Top,90.0
R14,42.00,27.50,Top,90.0
R15,45.00,27.50,Top,90.0
R16,48.00,27.50,Top,90.0
R17,42.31,46.05,Top,270.0
R18,48.56,46.15,Top,270.0
R19,97.00,50.00,Top,0.0
R20,92.50,50.00,Top,180.0
R21,73.50,28.00,Top,0.0
R22,70.00,27.50,Top,90.0
R23,73.50,24.50,Top,180.0
R24,73.00,12.00,Top,0.0
R25,69.50,11.50,Top,90.0
R26,73.00, 8.50,Top,180.0
R27,27.00,20.00,Top,180.0
R28,27.00,23.50,Top,180.0
T1,67.50,27.50,Top,270.0
T2,67.00,11.50,Top,270.0
T3,70.00,31.00,Top,270.0
T4,69.50,15.00,Top,270.0
